ts,price,event,reason,zone_ts,zone_px,zone_dir,zone_dist,conf_tol,m15_atr,session_mult,h4_score,h1_score,ltf_score,regime,regime_mult,total_score,confidence_mult,risk_amt,qty,entry_exec
2026-07-21 08:55:00,28947.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0029906471239604156,0.0025,,,,,,,,,,,,
2026-07-21 09:00:00,28967.16,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.0022969740492562543,,40.340594594105156,,,,,,,,,,,
2026-07-21 09:05:00,28964.02,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.002405123674607333,,40.340594594105156,,,,,,,,,,,
2026-07-21 09:10:00,28981.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0018147782674360683,,,0.0,,,,,,,,,,
2026-07-21 09:15:00,28976.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.001961159129774339,,,0.0,,,,,,,,,,
2026-07-21 09:20:00,28965.02,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.002370681118763034,,39.31384864822439,,,,,,,,,,,
2026-07-21 09:25:00,28959.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0025552932180884966,0.0025,,,,,,,,,,,,
2026-07-21 09:30:00,28982.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0017717250726306947,,,0.0,,,,,,,,,,
2026-07-21 09:35:00,28985.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0016511761271756481,,,0.0,,,,,,,,,,
2026-07-21 09:40:00,29002.66,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0010742633167836401,,,0.0,,,,,,,,,,
2026-07-21 09:45:00,28997.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0012636973739272846,,,0.0,,,,,,,,,,
2026-07-21 09:50:00,28989.66,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.001522016542759527,,,0.0,,,,,,,,,,
2026-07-21 09:55:00,28995.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0013325824856158825,,,0.0,,,,,,,,,,
2026-07-21 10:00:00,28996.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.001289529290810509,,,0.0,,,,,,,,,,
2026-07-21 10:05:00,28985.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0016683974050977976,,,0.0,,,,,,,,,,
2026-07-21 10:10:00,28979.66,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.001866442101202517,,,0.0,,,,,,,,,,
2026-07-21 10:15:00,28973.91,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.002064486797307236,,38.47006678996406,,,,,,,,,,,
2026-07-21 10:20:00,28953.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.002770559192115365,0.0025,,,,,,,,,,,,
2026-07-21 10:25:00,28952.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.002818434344738921,0.0025,,,,,,,,,,,,
2026-07-21 10:30:00,28967.66,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.0022797527713341046,,38.50739121796885,,,,,,,,,,,
2026-07-21 10:35:00,28967.91,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.00227114213237303,,38.50739121796885,,,,,,,,,,,
2026-07-21 10:40:00,28960.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0025294613012052723,0.0025,,,,,,,,,,,,
2026-07-21 10:45:00,28945.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.003046099638869757,0.0025,,,,,,,,,,,,
2026-07-21 10:50:00,28956.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.002667231524582468,0.0025,,,,,,,,,,,,
2026-07-21 10:55:00,28966.27,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.00232762792395766,,37.12507238890626,,,,,,,,,,,
2026-07-21 11:00:00,28980.66,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0018319995453582177,,,0.0,,,,,,,,,,
2026-07-21 11:05:00,28984.02,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0017162725577213533,,,0.0,,,,,,,,,,
2026-07-21 11:10:00,29000.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0011517590674333129,,,0.0,,,,,,,,,,
2026-07-21 11:15:00,28995.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0013325824856158825,,,0.0,,,,,,,,,,
2026-07-21 11:20:00,29009.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0008417760648346221,,,0.0,,,,,,,,,,
2026-07-21 11:25:00,29016.52,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0005968894927816362,,,0.0,,,,,,,,,,
2026-07-21 11:30:00,29009.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0008245547869124726,,,0.0,,,,,,,,,,
2026-07-21 11:35:00,29009.52,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0008379873836917291,,,0.0,,,,,,,,,,
2026-07-21 11:40:00,29015.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0006351207297688281,,,0.0,,,,,,,,,,
2026-07-21 11:45:00,29009.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0008503867037956968,,,0.0,,,,,,,,,,
2026-07-21 11:50:00,29008.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0008589973427567715,,,0.0,,,,,,,,,,
2026-07-21 11:55:00,29015.52,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0006313320486259352,,,0.0,,,,,,,,,,
2026-07-21 12:00:00,29019.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.000505961145352707,,,0.0,,,,,,,,,,
2026-07-21 12:05:00,29024.41,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0003251377271701373,,,0.0,,,,,,,,,,
2026-07-21 12:10:00,29019.77,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.00048495118628766456,,,0.0,,,,,,,,,,
2026-07-21 12:15:00,29036.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0001053942208836,,,0.0,,,,,,,,,,
2026-07-21 12:20:00,29030.16,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.00012709303106541814,,,0.0,,,,,,,,,,
2026-07-21 12:25:00,29014.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0006523420076909776,,,0.0,,,,,,,,,,
2026-07-21 12:30:00,29019.66,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0004887398674305575,,,0.0,,,,,,,,,,
2026-07-21 12:35:00,29010.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0007901122310681735,,,0.0,,,,,,,,,,
2026-07-21 12:40:00,29013.66,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0006953952024963514,,,0.0,,,,,,,,,,
2026-07-21 12:45:00,29030.02,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.00013191498888359996,,,0.0,,,,,,,,,,
2026-07-21 12:50:00,29025.77,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0002782958512218706,,,0.0,,,,,,,,,,
2026-07-21 12:55:00,29002.91,zone_skip,session,2026-07-21 00:00:00,29033.85,short,0.0010656526778225655,,,0.0,,,,,,,,,,
2026-07-21 13:00:00,29010.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0007901122310681735,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 13:05:00,29006.27,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0009499256901857008,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 13:10:00,29020.02,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00047634054732658977,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:15:00,29023.27,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0003644022408326181,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:20:00,29028.27,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00019218946161112319,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:25:00,29022.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0003854121998976605,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:30:00,29030.27,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0001233043499225252,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:35:00,29026.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0002476419765204646,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:40:00,29020.77,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00045050863044336555,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:45:00,29030.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00010987175314326865,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 13:50:00,29014.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0006523420076909776,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 13:55:00,29016.27,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.000605500131742711,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 14:00:00,28991.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0014445207921098542,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 14:05:00,28986.16,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0016425654882145735,,,,1.0,0.0,2.0,,,,,,,
2026-07-21 14:10:00,29006.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0009278824544453696,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 14:15:00,28983.77,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.001724883196682428,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 14:20:00,28992.02,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0014407321109669614,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 14:25:00,28979.02,zone_skip,chasing,2026-07-21 00:00:00,29033.85,short,0.001888485336942848,,34.531435509806435,,,,,,,,,,,
2026-07-21 14:30:00,28992.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0014100782362655552,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 14:35:00,29008.41,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.000876218620678921,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 14:40:00,29017.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0005490143401580806,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 14:45:00,29029.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00013570367002649288,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 14:50:00,29006.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0009278824544453696,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 14:55:00,29004.41,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.001013988844056117,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 15:00:00,29014.27,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.000674385243431309,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 15:05:00,29034.16,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,1.0677192311777793e-05,,,,1.0,0.0,0.0,,,,,,,
